,BedroomAbvGr,HeatingQC,CentralAir,HouseStyle,2ndFlrSF,1stFlrSF,KitchenAbvGr,KitchenQual,GarageCars,GarageArea,OverallCond,Street,dist_to_ISU,Latitude,Longitude,TotalFullBath,TotalHalfBath
0,2,TA,Y,1,0,856,1,TA,2.0,399.0,6,Pave,998.5828561998618,42.01856449,-93.65161918,2.0,0.0
1,2,TA,Y,1,0,1049,1,Gd,1.0,266.0,5,Pave,1433.0869233075628,42.02485532,-93.66367099,3.0,0.0
2,2,Ex,Y,1,0,1001,1,Gd,1.0,216.0,9,Pave,2739.536139119963,42.02154762,-93.6140681,1.0,0.0
3,2,Gd,Y,2,322,717,1,TA,1.0,281.0,8,Pave,3071.724423352185,42.03739147,-93.61220696,1.0,0.0
4,3,Ex,Y,2,855,810,1,Gd,2.0,528.0,6,Pave,2326.2471528755104,42.04455376,-93.63181832,3.0,1.0
5,4,Ex,Y,2,1427,495,1,Gd,2.0,672.0,5,Pave,2241.5774159943326,42.018988,-93.67157211,3.0,0.0
7,2,Ex,Y,1,0,1246,1,Gd,2.0,428.0,5,Pave,4085.3306418310904,42.063308,-93.64230584,2.0,0.0
8,3,TA,Y,1,0,889,1,TA,2.0,484.0,6,Pave,5704.280591208069,41.98649574,-93.60361883,1.0,0.0
9,2,Ex,Y,2,0,1072,1,Gd,2.0,525.0,5,Pave,2128.2954106730886,42.01896368,-93.67006654,2.0,0.0
11,3,Gd,Y,2,650,624,1,TA,2.0,576.0,5,Pave,5780.616477241696,41.98649988,-93.60213992,1.0,1.0
12,2,TA,Y,1,0,861,1,TA,2.0,288.0,6,Pave,3172.9286150789294,42.03216733,-93.60879655,1.0,0.0
13,3,Gd,Y,1,0,1394,1,TA,2.0,514.0,5,Pave,3392.2373795735148,42.04690161,-93.61572103,2.0,1.0
14,3,Ex,Y,1,0,1536,1,Gd,2.0,532.0,5,Pave,3605.015886185109,42.01590809,-93.68765221,3.0,0.0
15,3,Ex,Y,2,794,886,1,Gd,2.0,474.0,5,Pave,3671.7054147395816,42.03586941,-93.68920687,2.0,2.0
